title,artist_name,style,genre,description
Sunset,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W577: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974."
"Sunset on the Seine at Lavacourt, Winter Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W576: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974.

Variation on [url href=https://www.wikiart.org/en/claude-monet/sunset-on-the-seine-in-winter][i]Sunset on the Seine in Winter[/i] (W574)[/url], painted in March 1880. Shows Lavacourt seen from the Vétheul."
Sunset on the Seine in Winter,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W574: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974.

Painted after the break-up of the ice floes on 5 January 1880. Shows Lavacourt from the Vétheul bank, with the tip of the Ile Musard visible on the right. The same view at a later date is depicted in [url href=https://www.wikiart.org/en/claude-monet/sunset-on-the-seine-at-lavacourt-winter-effect][i]Sunset on the Seine at Lavacourt, Winter Effect[/i] (W576)[/url]."
Sunset at Lavacourt,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W575: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974.

Study for [url href=https://www.wikiart.org/en/claude-monet/sunset-on-the-seine-at-lavacourt-winter-effect][i]Sunset on the Seine at Lavacourt, Winter Effect[/i] (W576)[/url]. Shows Lavacourt seen from the Vétheul.

Sold at Christie's in 2008 for GBP 2,393,250."
Haystacks at Giverny,Monet Claude,Impressionism,landscape,"One of Monet’s series of paintings, Haystacks is a series of about 25 paintings, all depicting stacks of hay left in the field after harvesting. He began the paintings at the end of the summer of 1890, and continued until the next springs, using the harvests near his home in Giverny, France. Because of the repetitious subject matter, in this series Monet was not as concerned about the haystacks themselves as he was depicting the differences in light and color surrounding the haystacks in the different seasons, time of day, and weather. The paintings are now held in galleries, museums, and private collections around the world, and are some of his most notable works."
Poplars at Giverny,Monet Claude,Impressionism,landscape,"Another of Monet’s series of paintings, the Poplar paintings were painted in the summer and fall of 1891. The poplars trees were located on the banks of a river a few miles up the river from Monet’s home in Giverny, France, in a marsh. Monet had to reach his painting studio, which was floating outside along the bank of the trees, by going upriver in a small boat. The trees that were the subject of the paintings were actually put up for sale by the city of Limetz, who owned them, and Monet actually bought the trees so he could continue his paintings of them. After his series was finished, he sold the trees to a lumber company who wanted them for harvest."
"Grainstack in Winter, Misty Weather",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1217: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Grainstack at Giverny,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1216: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstacks at Giverny, Morning Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1214: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstacks at Giverny, Sunset",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1213: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstacks, White Frost Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1215: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstacks, Bright Sunlight",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1267: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Haystacks, Last Sunrays",Monet Claude,Impressionism,landscape,"Sold for £10.1 million on Sotheby's June 26, 2001.

[u]Catalogue raisonné:[/u]
W1272: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Haystacks,Monet Claude,Impressionism,landscape,"Sold for $110.7 million on Sotheby's May 14, 2019.

[u]Catalogue raisonné:[/u]
W1273: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Haystacks, midday",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1271: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstack in the Sunlight, Snow Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1287: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974.

Private collection, France.
The perspective of this picture is further to the West than in the others from the series. Receding hills are visible on the right side."
Grainstacks in the Winter,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1275: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974.

Private Collection, Switzerland.
Similar to [url href=https://www.wikiart.org/en/claude-monet/grainstacks-snow-effect-1891]W1274[/url]."
"Grainstacks in the Sunlight, Morning Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1268: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Grainstack,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1285: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Stack of Wheat,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1283: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Grainstack (Sunset),Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1289: Daniel Wildenstein, Catalogue raisonné Claude Monet, 1974."
"Stack of Wheat (Snow Effect, Overcast Day)",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1281: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstack, Snow Effect, Morning",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1280: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Grainstack in Sunshine,Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1288: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Stack of Wheat (Thaw, Sunset)",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1284: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Stacks of Wheat (Sunset, Snow Effect)",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1278: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Haystacks, end of Summer",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1266: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Stacks of Wheat (End of Day, Autumn)",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1270: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Wheatstacks, Snow Effect, Morning",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1276: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstacks, Snow Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1274: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Haystacks, Snow Effect",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1277: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Haystacks (Effect of Snow and Sun),Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1279: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Haystacks at Sunset, Frosty Weather",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1282: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
"Grainstack, Sun in the Mist",Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1286: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Stacks of Wheat (End of Summer),Monet Claude,Impressionism,landscape,"[u]Catalogue raisonné:[/u]
W1269: [i]Daniel Wildenstein[/i], Catalogue raisonné Claude Monet, 1974."
Rouen Cathedral Façade and Tour d'Albane (Morning Effect),Monet Claude,Impressionism,cityscape,"Monet’s series paintings of the 1890s—multiple variations of a single motif conceived, executed, and exhibited as a group—are among his most inventive and remarkable works. In the winter of 1892 the artist spent several months studying and painting the façade of Rouen Cathedral in his native Normandy. From rooms facing the cathedral across a square, Monet concentrated on the analysis of light and its effects on the forms of the façade, changing from one canvas to another as the day progressed. Later he extensively reworked the thirty paintings of the cathedral series in his studio at Giverny. Their encrusted surfaces of dry, thickly layered paint evoke the rough texture of weathered stone, absorbing and reflecting light like the walls of the cathedral itself.

[url href=https://collections.mfa.org/objects/32103/rouen-cathedral-facade-and-tour-dalbane-morning-effect?ctx=448de9df-39b6-4b5c-b959-42e78c390e96&idx=16]Boston MFA Website[/url]"
Dandelions,Monet Claude,Impressionism,flower painting,"The artwork was in private collection of undisclosed collector since 1953 when it was presented to him by writer Ilya Ehrenburg. There is a label with the text ""From the collection of Ilya Ehrenburg"" at the back of the canvas. The work had never been exhibited in public before. On October 29, 2011 painting was sold on auction in Kharkiv, Ukraine for $6 million to undisclosed buyer."
Water Lilies,Monet Claude,Impressionism,flower painting,"Monet’s Water Lilies series contained around 250 paintings, which he painted during the last thirty years of his life at his house in Giverny, France. Many of the paintings were completed while Monet was suffering from cataracts, which gave him a redder tone to his vision, which is represented in some of his paintings. He went through two surgeries in 1923 to remove his cataracts, which many have left his eyes more sensitive to ultraviolet wavelengths, as he went back and repainted some of his water lilies with a bluer tone. Works from Monet’s Water Lilies series are now housed all over the world, and have sold at auction for almost $41 million."
The House Among the Roses,Monet Claude,Impressionism,landscape,"One of a series of 6 canvases showing Monet's house from the garden.
'Monet's residence is seen as a front view, the roof in violet grey to convey the blue of the slates -standing between two banks of rose bushes. These are the paintings to which Paul Valery refers when writing about his visit to Giverny in September 1925: "" Monet showed us his latest paintings. Strange clumps of roses captured under a blue sky. A dark house"".
Quoted from Wildenstein Catalogue Raisonee W1953-1958"
Landscape,Dali Salvador,Impressionism,landscape,"[b]Provenance[/b]

Paul Éluard, Paris
Albert Field collection, Astoria (New York)"
Honey Is Sweeter Than Blood,Dali Salvador,Surrealism,landscape,"Dali's first surreal painting, ""Honey is Sweeter than Blood"", shows a marked progression away from Cubism toward the depiction of subconscious obsessions. Dali's preoccupations with decadence, death, and immortality returned repeatedly in future works. This painting was made between Dali's first visits to Paris where he was socializing with artists who would found the Surrealist movement. 
The location of the painting is unknows since 1973."
Un Chien Andalou (film still),Dali Salvador,Surrealism,photo,"One of the most acclaimed films in cinema history, [i]Un Chien Andalou[/i] (An Andalusian Dog) (1929) is a short silent surrealist film by Spanish director Luis Buñuel and artist Salvador Dalí. Following the principles of [url href=https://www.wikiart.org/en/artists-by-art-movement/surrealism]Surrealism[/url], the film does not have a narrative in the conventional sense. Instead, Dalí and Buñuel decided to string together a series of images that have no logical or rational continuity. Liberated from the demands of narrative structure, the disruptive and disorienting qualities of [i]Un Chien Andalou[/i] capture the experience of dreaming on the film screen. The movie retains a sort of structure though, mainly through the recurrence of the same characters. However, the connection between the various events is purposefully ambiguous. Dalí and Buñuel use title cards throughout the film: “Once Upon a Time”, “Eight Years Later”, “Around Three in the Morning” etc. Nevertheless, these do not provide organization or structure, rather they appear random and even confusing.

The opening scene of [i]Un Chien Andalou[/i] remains one of the most recognizable images of cinema history. A man played by Buñuel slowly brings a sharp razor and slices the eyes of the heroine. At the precise moment of cutting the eyeball, the film shifts to an image of a cloud slicing across the moon, before immediately after returning to the gruesome image of the sliced eye. In this way, the film builds metaphors and hidden associations between unconnected images: on the one hand a tranquil image of the moon, and on the other hand the violent slicing of the eye.

Dalí and Buñuel wrote the script for [i]Un Chien Andalou[/i] in February 1929 during Buñuel’s six-day stay at Dalí’s house in Catalonia. When conceiving the film, the authors were influenced by André Breton’s ideas on Surrealism and Sigmund Freud’s theories on psychoanalysis. Dalí and Buñuel made a strategic choice to premiere the film in Paris, which allowed them to reach a wider audience, one that they believed would be receptive to their ideas. This decision also reflected their belief about the universality of the language of cinema. Additionally, they believed that cinema as a medium has the directness and immediacy that can be particularly effective for representing unconscious processes, dreams, and desires.

[i]Un Chien Andalou[/i] premiered in Paris on June 6, 1929, and surpassed the expectations of its authors, who solidified their place in the French surrealist circle led by Breton. Even though the film remains enigmatic, generally it is understood as a work that deals with sexuality. This has prompted many readings of the film and scholars have connected the film to a range of subjects: homosexuality, the sexual transition from adolescence to adulthood, the threat sexual desire poses to male identity, and more.
In 1930, Dalí and Buñuel collaborated on the sequel and wrote together with the script for [i]L'Age d'Or[/i] (The Golden Age) (1930). Dalí and Buñuel fell out during the making of the film, but despite that, the film proved a critical and popular success. It also managed to agitate right-wing groups that attacked the cinema where the film was shown."
The Great Masturbator,Dali Salvador,Surrealism,symbolic painting,"[i]The Great Masturbator[/i] (1929) is an autobiographical painting, in which the artist addresses his anxieties, fears, and sexual obsessions. At the center of the painting is a large amorphous form that is a distorted [url href=https://www.wikiart.org/en/paintings-by-genre/self-portrait]self-portrait[/url] of the artist: Dalí depicts himself with his eyes shut and a large grasshopper placed on his mouth. Similar versions of the self-portrait appear in Dalí’s other paintings including the famous masterpiece [url href=https://www.wikiart.org/en/salvador-dali/the-persistence-of-memory-1931][i]The Persistence of Memory[/i][/url] (1931). According to Dalí, he based the self-portrait on a rock formation in Cap de Creus, located along the shore of his homeland, Catalonia. Some scholars have also drawn a parallel between the self-portrait and a section of [url href=https://www.wikiart.org/en/hieronymus-bosch]Hieronymus Bosch[/url]'s [url href=https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7][i]The Garden of Earthly Delights[/i][/url] (1510-1515) – on the right side of the left panel Bosch depicts rocks, bushes, and small animals that resemble the profile with the prominent nose and long eyelashes.

The artist casts himself as “the great masturbator”, and his hidden desire manifests itself through the female figure that emerges from the nape of his neck. She is identified as Gala Éluard, Dalí’s muse, and future wife. Her head and mouth are next to the crotch of a standing male figure, that is only visible from the waist down and cut off at the knees. Dalí painted [i]The Great Masturbator[/i] in the later summer of 1929, at the early stages of his relationship with Gala, who at the time was still married to his friend and colleague, the [url href=https://www.wikiart.org/en/artists-by-art-movement/surrealism]Surrealist[/url] poet Paul Éluard. The painting expressed the artist’s anxieties about their relationship, both regarding the circumstances of their romance and his fear of being taken advantage of or swallowed up by Gala. Gala’s presence is ambiguous, she is both loved and feared. She represents the artist’s fear of castration and female sexuality, but also the potential to achieve spiritual and sexual liberation through this relationship.

The most threatening element of the painting is the grasshopper, which relates to Dalí’s childhood fear of insects. Dalí often wrote poems that accompanied his paintings, and in the poem for [i]The Great Masturbator[/i], he referred to the insect as a locust.  For Dalí, the fear of the grasshopper or the locust related to the idea of being swallowed up or consumed, which is likely why the grasshopper clings to the lower part of the face, in place of the mouth. According to one interpretation, the grasshopper serves as another representation of Gala. This claim is supported by another painting from the period, [url href=https://www.wikiart.org/en/salvador-dali/portrait-of-paul-eluard][i]Portrait of Paul Éluard[/i][/url] (1929).  He began the portrait while Gala was still with Éluard, but by the time he finished, she had left Éluard. The portrait shares several elements with [i]The Great Masturbator[/i]: the roaring lion, the profile portrait of Dalí, and most importantly the grasshopper. The grasshopper likely implies Gala’s presence, and in a similar way, it signifies Dalí’s anxieties regarding adultery and the implications of their relationship.
 
[i]The Great Masturbator[/i] remained in the artist’s personal collection. After his death, the painting was willed to the national collection of Spain, and today it is part of the Museo Reina Sofía collection in Madrid."
The Persistence of Memory,Dali Salvador,Surrealism,symbolic painting,"[i]The Persistence of Memory[/i] (1931) is one of the most iconic and recognizable paintings of [url href=https://www.wikiart.org/en/artists-by-art-movement/surrealism]Surrealism[/url]. Frequently referenced in popular culture, the small canvas (24x33 cm) is sometimes known as “Melting Clocks”, “The Soft Watches” and “The Melting Watches”. The painting depicts a dreamworld in which common objects are deformed and displayed in a bizarre and irrational way: watches, solid and hard objects appear to be inexplicably limp and melting in the desolate landscape. Dalí paints his fantastical vision in a meticulous and realistic manner: he effortlessly integrates the real and the imaginary in order “to systemize confusion and thus to help discredit completely the world of reality”.
 
When asked about the limp watches, the artist compared their softness to overripe cheese saying that they show “the camembert of time”. The idea of rot and decay is most evident in the gold watch on the left, which is swarmed by ants. Ants, a common motif in Dalí’s art are usually linked to decay and death. He set the scene in a desolate landscape that was likely inspired by the landscape of his homeland, the Catalan coast. The influence of the Catalan landscape also appears in another element of the painting: the artist inserts himself into the scene in the form of a strange fleshy creature in the center of the painting. According to Dalí, the self-portrait was based on a rock formation at Cap de Creus in northeast Catalonia. Some scholars have also drawn a parallel between the self-portrait and a section of [url href=https://www.wikiart.org/en/hieronymus-bosch]Hieronymus Bosch[/url]'s [url href=https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7][i]The Garden of Earthly Delights[/i][/url] (1510-1515) – on the right side of the left panel Bosch depicts rocks, bushes, and small animals that resemble Dalí’s profile with the prominent nose and long eyelashes. Similar versions of this self-portrait appear in other paintings by Dalí like [url href=https://www.wikiart.org/en/salvador-dali/the-great-masturbator-1929][i]The Great Masturbator[/i][/url] (1929).
 
The melting watch, one of Dalí’s most powerful and potent motifs, continued to play an important role in his art. Two decades after [i]The Persistence of Memory[/i], Dalí recreated his famous work in the painting [url href=https://www.wikiart.org/en/salvador-dali/the-disintegration-of-the-persistence-of-memory][i]The Disintegration of the Persistence of Memory[/i][/url] (1952-1954). As the title suggests, the painting shows the disintegration of the world depicted in the original painting, reflecting a world changed by the nuclear age. The painting showed Dalí’s growing interest in quantum physics: he added rectangular blocks that represent “the atomic power source” and missile-like objects that reference the atomic bomb. In the late stages of his career, Dalí also produced numerous sculptures of melting watches including [url href=https://www.wikiart.org/en/salvador-dali/the-persistence-of-memory-1980][i]The Persistence of Memory[/i][/url] (ca. 1980), [url href=https://www.wikiart.org/en/salvador-dali/profile-of-time-1984][i]Profile of Time[/i][/url] (1977-1984), [url href=https://www.wikiart.org/en/salvador-dali/nobility-of-time-1984][i]Nobility of Time[/i][/url] (1977-1984) and [url href=https://www.wikiart.org/en/salvador-dali/dance-of-time-i-1984][i]Dance of Time I[/i][/url] (1979-1984).
 
[i]The Persistence of Memory[/i] was first shown in 1932 at the [i]Julien Levy Gallery[/i] in New York. In 1934, the painting was anonymously donated to the Museum of Modern Art in New York, where it remains until this day."
Retrospective Bust of a Woman,Dali Salvador,Surrealism,sculpture,"Retrospective Bust of a Woman exemplifies Dali's found object sculptures in which the original materials would be recontextualized through a process of assembly and composition. This piece was constructed around an inkstand, atop which was placed a replica of figures from Jean-Francois Millet's painting The Angelus (1857-1859). Dali was fixated on this painting, deeming it a marvelous representation of sexual repression, which he worked compulsively to unleash. The necklace draped around the bust is made from a zoetrope strip, indicating the potential for movement in a still object as well as Dali's interest in film."
Soft Construction with Boiled Beans: Premonition of Civil War,Dali Salvador,Surrealism,allegorical painting,"This painting is an allegorical response to the Spanish Civil War of 1936-1939, but it is also a garish and gruesome depiction of a body destroying itself. Dali painted this work prior to General Franco's invasion, yet it predicts the violence, anxiety, and doom many Spaniards felt during Franco's later rule. Soft Construction with Boiled Beans is a fine example of a Dali composition that simultaneously expresses his sexual obsessions as well as his political outrage."
The Metamorphosis of Narcissus,Dali Salvador,Surrealism,mythological painting,"[i]Metamorphosis of Narcissus[/i] (1937) by Salvador Dalí is the artist’s interpretation of the Narcissus myth in Ovid’s [i]Metamorphoses[/i]. According to the myth, Narcissus was a beautiful youth courted by many suitors, who was too proud to love someone in return. After Narcissus rejected the nymph Echo, the goddess of revenge Nemesis decided to punish him for his vanity. One day Narcissus was bending down to drink when he caught a glimpse of his reflection in the clear pool of water. Overcome by strong feelings of love, he tried to embrace his own reflection and when he couldn’t he fell into despair, beating his chest until he died. In the same place, a beautiful flower bloomed, the narcissus.
 
Dalí’s interpretation of the myth departs from traditional depictions of Narcissus, such as [url href=https://www.wikiart.org/en/caravaggio]Caravaggio[/url]’s [url href=https://www.wikiart.org/en/caravaggio/narcissus][i]Narcissus[/i][/url] (c.1599) and [url href=https://www.wikiart.org/en/nicolas-poussin]Nicolas Poussin[/url]’s [url href=https://www.wikiart.org/en/nicolas-poussin/echo-and-narcissus-1630][i]Echo and Narcissus[/i][/url] (1627-1628). Rather than depicting a single moment, Dalí’s painting highlights the process of transformation. He depicted Narcissus in two modes. On the left, Narcissus is naked in a crouched position, his head is supported by his knee as he looks at his reflection, partially visible in the water. On the right, Narcissus is transformed into an ossified hand holding an egg, out of which a narcissus flower emerges. The motif of the hand holding an egg resembles the assemblage [url href=https://www.wikiart.org/en/man-ray/main-ray-1936][i]Main Ray[/i][/url] (1935) by fellow Surrealist artist [url href=https://www.wikiart.org/en/man-ray]Man Ray[/url], which depicts a hand holding a globe. Dalí substituted the globe with the egg, which can be linked to the artist’s interest in alchemy. In alchemy, the egg represents an ideal form that is associated with ‘immaculate conception’. The egg has opposite qualities, its exterior is cold and solid while its inner substance is warm and liquid. In the painting, he alludes to the two qualities of the egg: on the left Narcissus’s head painted in warm yolk tones resembles a chunk of raw material, while on the right it is white, hard and fossilized. The white egg represents purity, and out of this pure form, Narcissus is reborn as a flower.
 
Dalí began painting [i]Metamorphosis of Narcissus[/i] in the spring of 1937, while he was in Zürs, in the Austrian Alps. He also wrote a long poem that accompanied the painting. This was the first painting Dalí made completely in accordance with the [i]paranoiac-critical method[/i], a surrealist technique he developed in the 1930s. The technique required the artist to enter a unique state of mind which he described as a “spontaneous method of irrational knowledge, based on the critical-interpretative association of the phenomena of delirium”. It was particularly effective when creating an optical illusion, of one image hidden within another. In this way, Dalí was able to emphasize the passage of time, and the process of the metamorphosis.
 
While in London in 1938, the writer Stefan Zweig arranged a meeting between Dalí and the renowned psychoanalyst Sigmund Freud. Dalí, a great admirer of Freud, brought with him [i]Metamorphosis of Narcissus[/i] as an example of his work. The following day, Freud wrote to Zweig: “until now I was inclined to regard the Surrealists – who seem to have chosen me as their patron saint – as 100% mad (let’s say 95%, as with alcohol). This young Spaniard, with his ingenuous fanatical eyes and his undeniable technical mastery, has suggested to me a different appreciation. In fact, it would be very interesting to explore analytically the creation of such a painting.”"
The Burning Giraffe,Dali Salvador,Surrealism,allegorical painting,"Salvador Dali's painting, The Burning Giraffe, epitomises the surrealist style of painting he was renowned for.

The emergence of psychoanalysis and the work of Sigmund Freud were major influences on the artist, along with the cubist output of Picasso and the work of other surrealists, such as, Miro and classical painters,including Vermeer and Velazquez.

Those coming to Dali for the first time, most typically through the coloured plates in art books, are often surprised to find that the actual canvases and boards he committed his work to are much smaller than imagined. The Burning Giraffe is one such example.

The work dates from 1937 when Dali was 34 years old. It was painted in Spain, with oils on board, prior to Dali’s American sojourn in the early 1940s. The painting measures 35cm X 27cm and is currently housed in the Kunstmuseum in Basel Switzerland.

In 1937, Spain was in the grip of a bloody civil war and the painting is thought to represent both the insecurities the artist felt about that conflict, his struggles with his own country and his own deeper subconscious world of dreams, and perceptions. It is full of images that act almost as motifs which recur frequently in Dali’s work.

It is interesting that the title of the painting is The Burning Giraffe because this image, which is much smaller than the two female forms in the foreground, can only be seen, almost in relief, at the back of the picture as the eye moves back towards the horizon.

Dali first used the image of a burning Giraffe, which he called the masculine cosmic apocalyptic monster, in the film L’ Age d ‘Or (the Golden Age) which he made in collaboration with Luis Bunuel in 1930.

The image recurs again in a much later (1975) work in pastel and water colour, Burning Giraffes in Brown, also known as Giraffe Avignon. For many, the Giraffe works for Dali as a totem animal with the burning Giraffe seen as a premonition of war; whilst fire is representative of a dangerous death, imbued with meaning.

The breaking up of the female form and mystification surrounding female sexuality, combined with fetishism are themes common to Dali. Here the two main figures are clearly female, but they appear in almost skeletal form as what Dali called, the tail bone woman.

The skin appears to be peeling, exposing what lies beneath, hidden, one of the main ideas conveyed in this work. The figures stand in isolation from each other and from the rest of the painting, in a dream landscape which the artist has created by exceptional use of colour.

The figures are featureless, deprived of sight or hearing but the figure in the foreground is reaching out for something, perhaps symbolic of the position women had reached on their journey towards equality.

The drawer that opens out of the thorax, together with the seven small drawers that open from the left leg of the principle figure, make what Dali referred to as the anthropomorphic cabinet. This takes us back to Freud and the secret drawers in the human psyche which can only be opened through psychoanalysis.

From Dali's perspective this was about suppression of the inner and subconscious life, and the taming of inner beast.

Women are objectified and desired and this is repressed and the true self is hidden away because these things are not socially acceptable. And yet, Dali was aware of what he called, the narcissistic smells coming from the drawers which made it almost impossible to resist opening them.

Undefined shapes eminate from the backs of both of the female forms. Could these shapes be yet another of Dali’s favourite artistic devices, melting clocks, or soft watches as seen in perhaps his most famous work, The Persistence of Memory (1931)?

The smaller figure holds what appears to be a piece of flesh in her hand, a device also present in The Great Masturbator (1929). Raw meat is seen as the call for a return to primitive nature, a rediscovery of the inner being.

Both female forms are supported by crutches, yet another of Dali’s common motifs seen in many of his works, but perhaps best utilised in Sleep (1937) and less so in The Ghost of Vermeer of Delft Which Can Be Used As a Table (1934).

In The Burning Giraffe, the crutches are clearly masculine in nature, representing a patriarchal system which many believed women would be helpless without. They are phallic in essence, male dominance over the bodies of women."
